Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=54683, destination-ip=202.168.254.8, destination-port=53, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=55566, destination-ip=202.168.254.8, destination-port=53, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=1, source-ip=202.168.232.9, source-port=22919, destination-ip=172.21.60.66, destination-port=2048, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:08 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=53685, destination-ip=172.21.186.50, destination-port=161, time=2020/6/20 21:59:08, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=43001, destination-ip=202.168.254.4, destination-port=161, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:08 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=60201, destination-ip=202.168.255.44, destination-port=161, time=2020/6/20 21:59:08, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:08 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=1, source-ip=202.168.232.9, source-port=22921, destination-ip=172.21.61.154, destination-port=2048, time=2020/6/20 21:59:08, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=36726, destination-ip=202.168.254.8, destination-port=53, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=38472, destination-ip=202.168.254.8, destination-port=53, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:08 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=1, source-ip=202.168.232.9, source-port=22923, destination-ip=172.21.177.6, destination-port=2048, time=2020/6/20 21:59:08, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:09 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=47374, destination-ip=202.168.254.8, destination-port=53, time=2020/6/20 21:59:09, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
Jun 20 15:59:08 AarongMohakhali-DC-IFW-USG6680E %%01POLICY/6/POLICYPERMIT(l): vsys=public, protocol=17, source-ip=202.168.232.10, source-port=51472, destination-ip=202.168.255.254, destination-port=161, time=2020/6/20 21:59:08, source-zone=dmz, destination-zone=untrust, application-name=, rule-name=dmz_to_untrust.
